"","Height","Location"
"1",16.9599622268386,"Mountain #1"
"2",17.1431991679464,"Mountain #1"
"3",15.6227203845034,"Mountain #1"
"4",19.034805121109,"Mountain #1"
"5",21.5698332047883,"Mountain #1"
"6",21.6011481071992,"Mountain #1"
"7",24.5217066429701,"Mountain #1"
"8",22.2295868721174,"Mountain #1"
"9",22.2915832699634,"Mountain #1"
"10",15.9340334075896,"Mountain #1"
"11",25.5244338560341,"Mountain #1"
"12",21.1033653938173,"Mountain #1"
"13",25.7644012001724,"Mountain #1"
"14",23.6874071114574,"Mountain #1"
"15",20.0694492200062,"Mountain #1"
"16",21.3556409960488,"Mountain #1"
"17",21.0781327480844,"Mountain #1"
"18",20.7616431771123,"Mountain #1"
"19",17.1170447076044,"Mountain #1"
"20",22.9997534182107,"Mountain #1"
"21",22.8967944367117,"Mountain #1"
"22",23.4334748026789,"Mountain #1"
"23",26.0804657078938,"Mountain #1"
"24",23.2143543812166,"Mountain #1"
"25",21.574008725259,"Mountain #1"
"26",19.9092003235118,"Mountain #1"
"27",25.7277825996892,"Mountain #1"
"28",19.5413032600971,"Mountain #1"
"29",20.3994109101007,"Mountain #1"
"30",20.5068259856571,"Mountain #1"
"31",21.3349897876088,"Mountain #1"
"32",18.9488419910178,"Mountain #1"
"33",24.1989826656907,"Mountain #1"
"34",18.0351572566573,"Mountain #1"
"35",18.9871685717216,"Mountain #1"
"36",24.080353049535,"Mountain #1"
"37",21.7023648317369,"Mountain #1"
"38",17.9641176171295,"Mountain #1"
"39",16.2587224345056,"Mountain #1"
"40",21.9849352046399,"Mountain #1"
"41",19.1793858671478,"Mountain #1"
"42",21.2002646742308,"Mountain #1"
"43",19.7524270863138,"Mountain #1"
"44",14.8973659410409,"Mountain #1"
"45",23.4646076541736,"Mountain #1"
"46",21.9113506833489,"Mountain #1"
"47",18.122728980108,"Mountain #1"
"48",20.3215394756165,"Mountain #1"
"49",18.0745912873213,"Mountain #1"
"50",23.4974000766933,"Mountain #1"
"51",17.5307003442523,"Mountain #1"
"52",22.8048393231605,"Mountain #1"
"53",26.0511222905741,"Mountain #1"
"54",13.3112814988845,"Mountain #1"
"55",17.2310973087602,"Mountain #1"
"56",17.5828103373396,"Mountain #1"
"57",17.6473132492797,"Mountain #1"
"58",18.5926213759245,"Mountain #1"
"59",17.5859676768774,"Mountain #1"
"60",21.4335620111473,"Mountain #1"
"61",36.8156507131847,"Mountain #2"
"62",31.3261313096311,"Mountain #2"
"63",33.5833473176521,"Mountain #2"
"64",41.31111707444,"Mountain #2"
"65",37.3531462645476,"Mountain #2"
"66",35.9445290180168,"Mountain #2"
"67",37.6688928320533,"Mountain #2"
"68",37.274404580981,"Mountain #2"
"69",34.3917691193344,"Mountain #2"
"70",36.8013600327479,"Mountain #2"
"71",39.3949433411516,"Mountain #2"
"72",33.8087652401618,"Mountain #2"
"73",37.8295243737942,"Mountain #2"
"74",38.0743382982985,"Mountain #2"
"75",33.1083528040914,"Mountain #2"
"76",32.9466886997879,"Mountain #2"
"77",35.1333628642849,"Mountain #2"
"78",39.6542593800772,"Mountain #2"
"79",37.1274927128062,"Mountain #2"
"80",39.1950136903973,"Mountain #2"
"81",41.7050137201429,"Mountain #2"
"82",36.7482261514465,"Mountain #2"
"83",35.3138976777455,"Mountain #2"
"84",33.8326394442383,"Mountain #2"
"85",35.297635488489,"Mountain #2"
"86",34.7272657353156,"Mountain #2"
"87",40.0596109747705,"Mountain #2"
"88",38.5280674252769,"Mountain #2"
"89",35.1700572857176,"Mountain #2"
"90",34.5328671052224,"Mountain #2"
"91",34.8910499825232,"Mountain #2"
"92",33.1105429420564,"Mountain #2"
"93",36.195578869904,"Mountain #2"
"94",38.6768475195644,"Mountain #2"
"95",34.1048872840155,"Mountain #2"
"96",38.7931595352644,"Mountain #2"
"97",34.6156522405251,"Mountain #2"
"98",35.0536841819381,"Mountain #2"
"99",37.2038684426384,"Mountain #2"
"100",34.634399616589,"Mountain #2"
"101",35.6197538194544,"Mountain #2"
"102",37.5250546817096,"Mountain #2"
"103",39.627194064256,"Mountain #2"
"104",34.1553802455325,"Mountain #2"
"105",39.3505546480879,"Mountain #2"
"106",31.0121638276424,"Mountain #2"
"107",36.1303739551649,"Mountain #2"
"108",38.4632006904163,"Mountain #2"
"109",35.8338835806175,"Mountain #2"
"110",35.2489205085532,"Mountain #2"
"111",35.4114084935018,"Mountain #2"
"112",34.1439320425717,"Mountain #2"
"113",34.8222269786563,"Mountain #2"
"114",34.307401528131,"Mountain #2"
"115",36.6220381933167,"Mountain #2"
"116",37.184349739452,"Mountain #2"
"117",35.6325036140731,"Mountain #2"
"118",34.9230710957304,"Mountain #2"
"119",35.4868584579671,"Mountain #2"
"120",37.983366273512,"Mountain #2"
